doy,Time_PST,air_temp,RH,rad_energy,rain,wind_speed,wind_direction,wind_chill,hour,ground_temp,prop_diffuse_solar,downscaled_wind,solar_zenith_angle,cloud,group,evap,length,height,exposure_time,size_category,remaining_water,body_temp,safety_margin
178,93000,28.1,0.4648,689.5,0,2.077,33.94,28.1,9,35,,,,0,aggregated,,0.08,0.0185,900,,,,
178,94500,28.66,0.4303,717.7,0,1.58,30.44,28.66,9,35,,,,0,aggregated,,0.08,0.0185,1800,,,,
178,100000,29.12,0.4451,745.3,0,1.493,60.28,29.12,10,35,,,,0,aggregated,,0.08,0.0185,2700,,,,
178,101500,29.55,0.4116,768,0,1.812,51.31,29.55,10,35,,,,0,aggregated,,0.08,0.0185,3600,,,,
178,103000,29.76,0.3981,790.2,0,1.513,51.15,29.76,10,35,,,,0,aggregated,,0.08,0.0185,4500,,,,
178,104500,30.19,0.3924,808,0,1.474,60.4,30.19,10,35,,,,0,aggregated,,0.08,0.0185,5400,,,,
178,110000,30.37,0.3849,825,0,2.077,38.97,30.37,11,35,,,,0,aggregated,,0.08,0.0185,6300,,,,
178,111500,30.21,0.3887,838,0,2.796,31.38,30.21,11,35,,,,0,aggregated,,0.08,0.0185,7200,,,,
178,113000,30.4,0.3714,849,0,2.652,35.31,30.4,11,35,,,,0,aggregated,,0.08,0.0185,8100,,,,
178,114500,30.81,0.366,857,0,2.39,40.37,30.81,11,35,,,,0,aggregated,,0.08,0.0185,9000,,,,
178,120000,31.16,0.3654,862,0,1.623,37.86,31.16,12,35,,,,0,aggregated,,0.08,0.0185,9900,,,,
178,121500,31.25,0.3478,864,0,1.522,55.65,31.25,12,35,,,,0,aggregated,,0.08,0.0185,10800,,,,
178,123000,31.48,0.3437,863,0,1.698,47.05,31.48,12,35,,,,0,aggregated,,0.08,0.0185,11700,,,,
178,124500,31.63,0.338,859,0,2.147,46.57,31.63,12,35,,,,0,aggregated,,0.08,0.0185,12600,,,,
178,130000,31.96,0.3271,854,0,1.264,50.96,31.96,13,35,,,,0,aggregated,,0.08,0.0185,13500,,,,
178,131500,32.09,0.3285,845,0,1.576,24.91,32.09,13,35,,,,0,aggregated,,0.08,0.0185,14400,,,,
178,133000,31.82,0.3366,834,0,2.339,38.02,31.82,13,35,,,,0,aggregated,,0.08,0.0185,15300,,,,
178,134500,31.71,0.3241,819,0,1.905,45.73,31.71,13,35,,,,0,aggregated,,0.08,0.0185,16200,,,,
178,140000,32.52,0.3174,802,0,1.499,41.47,32.52,14,35,,,,0,aggregated,,0.08,0.0185,17100,,,,
178,141500,32.51,0.3332,781.3,0,1.883,49.59,32.51,14,35,,,,0,aggregated,,0.08,0.0185,18000,,,,
178,143000,31.82,0.3278,758.2,0,2.067,33.16,31.82,14,35,,,,0,aggregated,,0.08,0.0185,18900,,,,
178,144500,31.99,0.3177,734.7,0,1.606,50,31.99,14,35,,,,0,aggregated,,0.08,0.0185,19800,,,,
178,150000,32.44,0.3096,707.5,0,2.069,39.36,32.44,15,35,,,,0,aggregated,,0.08,0.0185,20700,,,,
178,151500,32.76,0.3113,678.7,0,1.758,42.04,32.76,15,35,,,,0,aggregated,,0.08,0.0185,21600,,,,
178,153000,32.67,0.313,648.6,0,1.558,40.36,32.67,15,35,,,,0,aggregated,,0.08,0.0185,22500,,,,
178,154500,32.56,0.314,616.4,0,2.094,35.92,32.56,15,35,,,,0,aggregated,,0.08,0.0185,23400,,,,
178,160000,32.47,0.3096,583.2,0,2.186,30.55,32.47,16,35,,,,0,aggregated,,0.08,0.0185,24300,,,,
178,161500,32.57,0.3045,548.4,0,1.693,28.24,32.57,16,35,,,,0,aggregated,,0.08,0.0185,25200,,,,
178,163000,32.79,0.3045,511.9,0,1.58,51.35,32.79,16,35,,,,0,aggregated,,0.08,0.0185,26100,,,,
178,164500,32.69,0.3039,473.9,0,1.569,55.34,32.69,16,35,,,,0,aggregated,,0.08,0.0185,27000,,,,
178,170000,32.62,0.3059,436.1,0,1.776,34.79,32.62,17,35,,,,0,aggregated,,0.08,0.0185,27900,,,,
178,171500,32.79,0.2947,397.4,0,1.446,47.5,32.79,17,35,,,,0,aggregated,,0.08,0.0185,28800,,,,
178,173000,33.01,0.2961,358.9,0,1.956,36.95,33.01,17,35,,,,0,aggregated,,0.08,0.0185,29700,,,,
178,174500,33.22,0.2995,319.6,0,1.677,46.55,33.22,17,35,,,,0,aggregated,,0.08,0.0185,30600,,,,
178,180000,29.56,0.3704,280,0,1.288,80.5,29.56,18,35,,,,0,aggregated,,0.08,0.0185,31500,,,,
